Номер маршрута;Тип;Начало;Конец;Протяженность, км;Дата введения 
1;Автобус;ул.Энтузиастов;ул.Энтузиастов;28,44;10.09.2011
1д;Автобус;ул.Энтузиастов;ул.Энтузиастов;49,59;01.01.2021
2;Автобус;п.Док;ул. Таллинская;56,56;27.01.2014
4;Маршрутное такси;Центральный рынок;п. ММС;18,34;10.09.2011
4д;Маршрутное такси;Центральный рынок;ул.Электросетей;23,35;01.01.2021
5;Маршрутное такси;д. Матмасы;мкр. Южный;32,49;10.09.2011
6;Маршрутное такси;ЖК Апрель; с/о Степное;36,02;10.09.2011
7;Автобус;ул. Энтузиастов;ул. П. Артамонова;23,58;01.07.2012
8;Автобус;ул. Таллинская;д. Матмасы;46,29;02.03.2015
9;Автобус;Центральный рынок;с/о Лесник;32,96;10.09.2011
10;Автобус;а/п Рощино;Автовокзал;38,7;10.09.2011
11;Автобус;Рабочий поселок;Дом Обороны;29,95;10.09.2011
11д;Автобус;6 км Старого;Дом Обороны;45,29;01.01.2021
13;Автобус;ул. Прокопия Артамонова;ЖДВ;27,74;10.09.2011
14;Автобус;ул. Депутатская;Районная больница;33,24;10.09.2011
15;Автобус;мкр.Лесной;мкр. Южный;38,15;10.09.2011
16;Автобус;ул. Созидателей;индустриальный университет;34,41;01.01.2018
17;Автобус;мкр. Восточный;ул. Метелёвская;41,4;10.09.2011
17к;Автобус;мкр. Восточный; с/о Ласка;40,08;01.01.2021
18;Автобус;ул. Газопромысловая;Комбинат хлебопродуктов;27,08;10.09.2011
20;Автобус;ЖДВ;ул. Ершова;23,63;10.09.2011
22;Автобус;СК Здоровье; ул. Н. Семенова;23,57;27.01.2014
24;Маршрутное такси;з-д. Нефтемаш;ул. Газопромысловая;30,85;20.06.2014
25;Автобус;ЖДВ;ул. Таллинская;28,52;10.09.2011
26;Маршрутное такси;Областная библиотека;Мебельная фабрика;9,8;10.09.2011
27;Автобус;ул. Полетаева;ЖДВ;23,54;10.09.2011
29;Маршрутное такси;Городская поликлиника № 8;мкр. Суходольский;31,95;10.09.2011
29д;Маршрутное такси;ул. Земляничная;мкр. Суходольский;39,4;01.01.2021
30;Автобус;мкр. Восточный;Государственный Аграрный Университет;34,21;10.09.2011
32;Автобус;ЖДВ;с/о Приволье;24,95;10.09.2011
33;Автобус;ЖДВ;СНТ Ривьера;35,21;10.09.2011
34;Маршрутное такси;ЖДВ;с/о Березняки;30,54;10.09.2011
35;Автобус;ул. Энергостроителей ;Центральный рынок;20,87;01.01.2020
36;Автобус;Центральный рынок;с/о Лаванда;46,73;10.09.2011
36к;Автобус;Центральный рынок;с/о Текстильщик;41,16;01.01.2021
37;Маршрутное такси;п. ММС;ул. Пролетарская;29,53;10.09.2011
39;Автобус;СК Здоровье;ул. Созидателей;41,61;10.09.2011
40;Автобус;с/о Березняки;ЖК Звездный городок;31,85;20.06.2014
41;Маршрутное такси;ул. Вересковая;ЖК Юбилейный;30,48;01.01.2020
42;Маршрутное такси;ул. Таллинская;Таллинская - ЖДВ;29,93;07.07.2014
43;Маршрутное такси;Областная библиотека;Рабочий поселок;23,87;10.09.2011
44;Маршрутное такси;ул. Возрождения;кафе Ивушка;31,62;10.09.2011
45;Маршрутное такси;ЖК Звездный городок;ул. Созидателей;55;10.09.2011
46;Автобус;ЖК Звездный городок;ул. Таллинская;43,66;10.09.2011
47;Автобус;ЖК Правобережный;ул.Высотная;32,33;11.03.2014
47д;Автобус;ЖК Правобережный;ул. Вологодская;34,41;01.01.2020
48;Автобус;п. ММС;ул. Олимпийская;32,58;10.09.2011
49;Автобус;Мебельная фабрика;ул. Вербная;36,88;10.09.2011
50;Маршрутное такси;Очаково;ОБИЛ (Центр нейрохирургии);21,55;10.09.2011
51;Автобус;п. ММС;ул. Энергостроителей;44,04;15.03.2012
51д;Автобус;с/о Русское поле; ул. Энергостроителей;49,37;01.01.2021
52;Маршрутное такси;Сквер Немцова;ЖК Москва;16,11;10.09.2011
53;Автобус;мкр. Тюменский;ЖК Звездный городок;43,31;10.09.2011
54;Автобус;ЖК Звездный городок;Жилой район Краснолесье;44,76;10.09.2011
54д;Автобус;ЖК Звездный городок;а/п Рощино;53,91;01.01.2021
55;Автобус;п.ДОК;ЖК Акватория;42,73;28.10.2013
57;Маршрутное такси;ул. Таллинская; ЖК Плеханово;34,03;10.09.2011
60;Автобус;ул. Городская;Сквер Петра Потапова;36,63;02.03.2015
62;Маршрутное такси;Школа №63;Государственный Аграрный Университет;37,35;10.09.2011
63;Автобус;з-д. Медоборудования;Тараскуль;62,29;01.09.2014
64;Маршрутное такси;ул. Таллинская;ул. Высотная;40,67;10.09.2011
65;Маршрутное такси;с/о Степное;ДНТ Суходольное;54,39;10.09.2011
68;Маршрутное такси;Мыс;ул. Б. Комиссаров;32,9;10.09.2011
70;Автобус;ул. Энтузиастов;ЖК Плеханово;29,9;23.06.2014
73;Маршрутное такси;ЖДВ;ул. Народная;28,69;01.01.2021
76;Маршрутное такси;ул. Газопромысловая;"МО МВД России ""Тюменский""";46,01;10.09.2011
79;Маршрутное такси;мкр. Восточный;ЖК Москва;30,86;10.09.2011
83;Маршрутное такси;ЖДВ;ОБИЛ (Центр нейрохирургии);27,07;01.09.2014
84;Маршрутное такси;ЖК Акватория;ОБИЛ (Центр нейрохирургии);44,71;10.09.2011
85;Автобус;ул. Федюнинского;мкр.Утешево;45,43;10.09.2011
86;Автобус;з-д. Медоборудования;ОБИЛ (Центр нейрохирургии);39,79;10.09.2011
88;Автобус;ЖК Звездный городок;ул. Д. Менделеева;40,25;03.11.2014
89;Автобус;ЖДВ;ул. Созидателей;29,39;10.09.2011
91;Автобус;ОБИЛ (Центр нейрохирургии);ул. Быковская;28,8;10.09.2011
96;Автобус;з-д. Медоборудования;ЖК Москва;23,01;10.09.2011
98;Автобус;ул. Дамбовская;с/о Топаз 2;40,37;10.09.2011
99;Автобус;Областная библиотека;с/о Ручеек;45,56;10.09.2011
100;Автобус;Центральный рынок;с/о Ручеек;29,84;10.09.2011
100к;Автобус;з-д. Медоборудования;с/о Ручеёк;37,36;10.09.2011
120;Автобус;III мкр.;Большое Царёво-3;52,02;10.09.2011
120к;Автобус;СК Здоровье;Большое-Царёво-3;34,94;01.01.2021
121;Автобус;ЖДВ;Червишевское кладбище 2;26,11;10.09.2011
128;Автобус;з-д. Медоборудования;с/о Плодовое;39,65;10.09.2011
128к;Автобус;з-д. Медоборудования;с/о Якорь;56,01;10.09.2011
135;Автобус;Центральный рынок;ДНТ Тура;37,56;10.09.2011
144;Автобус;з-д. Медоборудования;с/о Яровское;49,07;10.09.2011
145;Автобус;з-д. Медоборудования;с/о Самотлор;55,34;10.09.2011
145к;Автобус;СК Здоровье;с/о Самотлор;37,36;01.01.2021
146;Автобус;Государственный Аграрный Университет;с/о Плодовое;46,58;10.09.2011
147;Автобус;з-д. Медоборудования;с/о Сосновая Поляна 2;68,38;10.09.2011
151;Автобус;Центральный рынок;с/о Лесная поляна;36,95;10.09.2011
151к;Автобус;з-д Медоборудования;с/о Лесная поляна;26,55;01.01.2021
156;Автобус;Областная библиотека;с/о Липовый остров;44,75;10.09.2011
28;Автобус;ЖК Правобережный;ул. Восточная;23,45;01.08.2021
3;Автобус;Центральный рынок;район Преображенский;18,28;01.09.2022
